Algorithm,N,K,Sorted?,AvgTime(s)
CountingSort,1000,1000,Sorted,0.000176
CountingSort,1000,10000,Sorted,0.000339
CountingSort,1000,100000,Sorted,0.001817
CountingSort,1000,1000000,Sorted,0.006105
CountingSort,1000,10000000,Sorted,0.021065
CountingSort,10000,10000,Sorted,0.000355
CountingSort,10000,100000,Sorted,0.000495
CountingSort,10000,1000000,Sorted,0.002064
CountingSort,10000,10000000,Sorted,0.020906
CountingSort,100000,100000,Sorted,0.000779
CountingSort,100000,1000000,Sorted,0.002371
CountingSort,100000,10000000,Sorted,0.019147
CountingSort,100000,100000000,Sorted,0.173336
CountingSort,100000,1000000000,Sorted,1.575417
CountingSort,1000000,100000,Sorted,0.011277
CountingSort,1000000,1000000,Sorted,0.024907
CountingSort,1000000,10000000,Sorted,0.044889
CountingSort,1000000,100000000,Sorted,0.152748
CountingSort,1000000,1000000000,Sorted,1.178210
ARUCountingSort,1000,1000,Sorted,0.000278
ARUCountingSort,1000,10000,Sorted,0.000135
ARUCountingSort,1000,100000,Sorted,0.000139
ARUCountingSort,1000,1000000,Sorted,0.000211
ARUCountingSort,1000,10000000,Sorted,0.000231
ARUCountingSort,10000,10000,Sorted,0.002274
ARUCountingSort,10000,100000,Sorted,0.001132
ARUCountingSort,10000,1000000,Sorted,0.000252
ARUCountingSort,10000,10000000,Sorted,0.000285
ARUCountingSort,100000,100000,Sorted,0.001960
ARUCountingSort,100000,1000000,Sorted,0.001993
ARUCountingSort,100000,10000000,Sorted,0.002240
ARUCountingSort,100000,100000000,Sorted,0.002387
ARUCountingSort,100000,1000000000,Sorted,0.002579
ARUCountingSort,1000000,100000,Sorted,0.017780
ARUCountingSort,1000000,1000000,Sorted,0.015029
ARUCountingSort,1000000,10000000,Sorted,0.019082
ARUCountingSort,1000000,100000000,Sorted,0.016227
ARUCountingSort,1000000,1000000000,Sorted,0.017849
MergeSort,1000,1000,Sorted,0.001031
MergeSort,1000,10000,Sorted,0.000359
MergeSort,1000,100000,Sorted,0.000362
MergeSort,1000,1000000,Sorted,0.000351
MergeSort,1000,10000000,Sorted,0.000385
MergeSort,10000,10000,Sorted,0.003771
MergeSort,10000,100000,Sorted,0.003628
MergeSort,10000,1000000,Sorted,0.003600
MergeSort,10000,10000000,Sorted,0.003672
MergeSort,100000,100000,Sorted,0.030189
MergeSort,100000,1000000,Sorted,0.015840
MergeSort,100000,10000000,Sorted,0.015392
MergeSort,100000,100000000,Sorted,0.015342
MergeSort,100000,1000000000,Sorted,0.015308
MergeSort,1000000,100000,Sorted,0.203644
MergeSort,1000000,1000000,Sorted,0.234128
MergeSort,1000000,10000000,Sorted,0.229503
MergeSort,1000000,100000000,Sorted,0.203437
MergeSort,1000000,1000000000,Sorted,0.244612
QuickSort,1000,1000,Sorted,0.000536
QuickSort,1000,10000,Sorted,0.000201
QuickSort,1000,100000,Sorted,0.000119
QuickSort,1000,1000000,Sorted,0.000122
QuickSort,1000,10000000,Sorted,0.000118
QuickSort,10000,10000,Sorted,0.001501
QuickSort,10000,100000,Sorted,0.001312
QuickSort,10000,1000000,Sorted,0.001369
QuickSort,10000,10000000,Sorted,0.001065
QuickSort,100000,100000,Sorted,0.014208
QuickSort,100000,1000000,Sorted,0.010467
QuickSort,100000,10000000,Sorted,0.012234
QuickSort,100000,100000000,Sorted,0.010690
QuickSort,100000,1000000000,Sorted,0.010600
QuickSort,1000000,100000,Sorted,0.302183
QuickSort,1000000,1000000,Sorted,0.257091
QuickSort,1000000,10000000,Sorted,0.243210
QuickSort,1000000,100000000,Sorted,0.235539
QuickSort,1000000,1000000000,Sorted,0.229797
